"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"C1,C2,C3,C13,C15,C17,C20";"CP_Tantalum_Case-R_EIA-2012-12_Reflow";7;"1uF 16V";;;
2;"C4";"C_0805_HandSoldering";1;"3.3pF";;;
3;"C5,C8,C23,C25,C28";"C_0805_HandSoldering";5;"10uF 16V";;;
4;"C6,C7,C11,C12";"C_0805_HandSoldering";4;"2200pF";;;
5;"C9,C14";"C_0805_HandSoldering";2;"1nF";;;
6;"C10";"C_0805_HandSoldering";1;"4.7uF 16V";;;
7;"C16,C21";"C_0805_HandSoldering";2;"100pF";;;
8;"C18";"C_0805_HandSoldering";1;"27pF";;;
9;"C19,C26";"C_0805_HandSoldering";2;"220pF";;;
10;"C22,C29,C30,C31";"C_0805_HandSoldering";4;"33pF";;;
11;"C24";"C_0805_HandSoldering";1;"15pF";;;
12;"C27";"C_0805_HandSoldering";1;"100nF";;;
13;"J1";"Pin_Header_Straight_1x03_Pitch2.54mm";1;"CONN_01X03";;;
14;"J2";"Pin_Header_Straight_1x01_Pitch2.54mm";1;"TEST_1P";;;
15;"J3";"Pin_Header_Straight_1x03_Pitch2.54mm";1;"Audio-Jack-3";;;
16;"J4";"Pin_Header_Straight_1x04_Pitch2.54mm";1;"CONN_01X04";;;
17;"J5";"Molex_SMA_Jack_Edge_Mount";1;"SMA Edge FM";;;
18;"L1,L5";"C_0805_HandSoldering";2;"33nF";;;
19;"L2,L4";"L_0805_HandSoldering";2;"33nH";;;
20;"L3";"C_0805_HandSoldering";1;"22nF";;;
21;"L6,L9";"L_0805_HandSoldering";2;"56nH";;;
22;"L7,L8";"L_0805_HandSoldering";2;"110nH";;;
23;"Q1,Q2,Q3";"SOT-23";3;"BC817-40";;;
24;"R1,R13";"R_0805_HandSoldering";2;"10k";;;
25;"R2,R3,R5,R6";"R_0805_HandSoldering";4;"1K";;;
26;"R4";"R_0805_HandSoldering";1;"1k8";;;
27;"R7,R8,R14";"R_0805_HandSoldering";3;"6k8";;;
28;"R9,R12";"R_0805_HandSoldering";2;"0";;;
29;"R10";"R_0805_HandSoldering";1;"2k2";;;
30;"R11";"R_0805_HandSoldering";1;"OC";;;
31;"R15,R16";"R_0805_HandSoldering";2;"6k5";;;
32;"RV1,RV2";"Potentiometer_Bourns_3314G_Vertical";2;"4k7";;;
33;"U2";"QFN-12-1EP_3x3mm_P0.5mm_EP1.65x1.65mm";1;"MMZ09332BT1";;;
34;"U3";"Oscillator_SMD_SI570_SI571_HandSoldering";1;"Si570";;;
35;"U4";"orangepi-zero";1;"Orange Pi zero";;;
36;"U5";"SOT-23-6_Handsoldering";1;"MCP3421A0T-E/CH";;;
37;"R17";"R_0805_HandSoldering";1;"4k7";;;
38;"U1";"VQFN-16_3x3mm_trf3701_new";1;"TRF3701";;;
