#,Quantity,Part Number,Manufacturer Part Number,Description,Customer Reference,Backorder,Unit Price,Extended Price
1,100,478-3846-1-ND,08052U3R3DAT2A,CAP CER 3.3PF 200V C0G/NP0 0805,3.3PF,0,"180,540","R 180,54"
2,100,399-16591-1-ND,C0805C102J5HACAUTO,CAP CER 0805 1NF 50V ULTRA STABL,1NF,0,"81,130","R 81,13"
3,100,478-8125-1-ND,F921A475MPA,CAP TANT 4.7UF 10V 20% 0805,4.7UF 16V,0,"185,550","R 185,55"
4,100,478-3844-1-ND,08052U270JAT2A,CAP CER 27PF 200V C0G/NP0 0805,27PF,0,"166,270","R 166,27"
5,100,478-10472-1-ND,08052U330JAT2A,CAP CER 33PF 200V NP0 0805,33PF,0,"188,930","R 188,93"
6,100,587-1134-1-ND,LMK212SD104KG-T,CAP CER 0.1UF 10V 0805,100NF,0,"210,840","R 210,84"
7,50,490-5652-1-ND,LQW2BAS22NJ00L,FIXED IND 22NH 500MA 220 MOHM,22NH,0,"198,820","R 99,41"
8,50,490-5655-1-ND,LQW2BAS33NJ00L,FIXED IND 33NH 500MA 270 MOHM,33NH,0,"265,400","R 132,70"
9,50,490-5660-1-ND,LQW2BAS56NJ00L,FIXED IND 56NH 500MA 340 MOHM,56NH,0,"198,820","R 99,41"
10,50,490-5665-1-ND,LQW2BASR11J00L,FIXED IND 110NH 400MA 480 MOHM,110NH,0,"198,820","R 99,41"
11,4,296-17198-ND,TRF3701IRHC,IC QUADRATURE MODULATOR 16-VQFN,TRF3701,0,"20,896,000","R 835,84"
12,4,MMZ09332BT1DKR-ND,MMZ09332BT1,IC AMP HBT INGAP,MMZ09332BT1,0,"12,992,000","R 519,68"
13,4,336-3900-ND,570MAC000118DG,OSC XO 100KHZ-250MHZ LVPECL SMD,SI570,0,"14,398,000","R 575,92"
14,4,MCP3421A0T-E/CHCT-ND,MCP3421A0T-E/CH,IC ADC 18BIT 3.75SPS 1CH SOT23-6,MCP3421A0T-E/CH,0,"3,080,000","R 123,20"
15,100,311-3619-1-ND,CC0805JRX7R9BB222,CAP CER 2200PF 50V X7R 0805,2200PF,0,"40,560","R 40,56"
16,20,490-6104-1-ND,GR442QR73D221KW01L,CAP CER 220PF 2KV X7R 1808,220PF,0,"472,000","R 94,40"
17,100,1276-2585-1-ND,CL21C150JB61PNC,CAP CER 15PF 50V C0G/NP0 0805,15PF,0,"67,610","R 67,61"
